"Date","Price","Open","High","Low","Vol.","Change %"
"01/11/2024","53,783.9","54,464.6","55,164.4","53,223.3","0.22K","-1.25%"
"31/10/2024","54,464.6","55,813.2","56,036.9","53,953.2","0.28K","-2.37%"
"30/10/2024","55,785.8","54,959.7","56,194.2","54,111.0","0.22K","1.50%"
"29/10/2024","54,959.7","53,862.1","56,150.8","53,700.0","0.32K","2.04%"
"28/10/2024","53,862.1","52,405.2","54,029.3","52,155.4","0.21K","2.82%"
"27/10/2024","52,387.1","51,707.8","52,634.9","51,589.4","0.09K","1.31%"
"26/10/2024","51,707.8","51,417.8","51,948.9","51,244.7","0.06K","0.56%"
"25/10/2024","51,417.8","52,537.7","52,911.9","50,605.1","0.16K","-2.13%"
"24/10/2024","52,537.7","51,603.1","53,048.8","51,441.5","0.13K","1.80%"
"23/10/2024","51,608.9","51,877.4","51,917.4","50,468.4","0.17K","-0.52%"
"22/10/2024","51,877.4","51,874.4","52,210.0","51,274.4","0.18K","0.01%"
"21/10/2024","51,874.4","52,823.1","53,200.0","51,428.0","0.23K","-1.80%"
"20/10/2024","52,823.1","52,372.7","53,087.2","52,145.5","0.07K","0.91%"
"19/10/2024","52,345.6","52,421.9","52,625.0","52,101.2","0.06K","-0.17%"
"18/10/2024","52,435.6","51,819.6","52,886.8","51,616.1","0.17K","1.19%"
"17/10/2024","51,819.6","52,041.4","52,253.4","51,267.3","0.16K","-0.43%"
"16/10/2024","52,041.4","51,016.1","52,400.0","50,676.6","0.22K","1.98%"
"15/10/2024","51,028.9","50,292.0","51,546.0","49,440.4","0.30K","1.49%"
"14/10/2024","50,280.6","48,137.5","50,659.6","47,833.8","0.36K","4.42%"
"13/10/2024","48,153.2","48,273.7","48,334.2","47,375.9","0.06K","-0.25%"
"12/10/2024","48,273.7","47,830.7","48,491.0","47,784.1","0.12K","1.01%"
"11/10/2024","47,789.0","46,168.9","48,491.9","45,992.1","0.14K","3.51%"
"10/10/2024","46,168.9","46,374.0","46,893.4","45,146.4","0.17K","-0.45%"
"09/10/2024","46,378.0","47,464.8","47,779.5","46,097.0","0.14K","-2.29%"
"08/10/2024","47,466.5","47,547.0","48,220.9","47,254.1","0.11K","-0.17%"
"07/10/2024","47,547.0","47,868.7","49,303.6","47,486.6","0.13K","-0.67%"
"06/10/2024","47,868.7","47,289.8","47,939.1","47,073.7","0.04K","1.22%"
"05/10/2024","47,289.8","47,288.5","47,513.7","47,000.0","0.04K","0.00%"
"04/10/2024","47,288.5","46,275.1","47,624.6","46,053.8","0.18K","2.15%"
"03/10/2024","46,291.0","45,715.6","46,695.9","45,654.1","0.14K","1.22%"
"02/10/2024","45,731.7","45,833.4","46,993.8","45,199.2","0.16K","-0.22%"
"01/10/2024","45,833.4","47,363.1","48,080.5","45,341.5","0.23K","-3.23%"
"30/09/2024","47,363.1","49,056.2","49,056.2","47,000.0","0.20K","-3.45%"
"29/09/2024","49,056.2","49,316.2","49,438.4","48,961.8","0.05K","-0.53%"
"28/09/2024","49,316.2","49,215.1","49,561.1","48,975.9","0.06K","0.24%"
"27/09/2024","49,200.3","48,615.3","49,600.0","48,413.2","0.23K","1.20%"
"26/09/2024","48,615.3","47,423.4","49,016.6","47,026.3","0.14K","2.51%"
"25/09/2024","47,423.4","47,876.0","48,316.4","47,238.8","0.12K","-0.99%"
"24/09/2024","47,899.8","47,460.2","48,175.2","46,889.5","0.24K","0.93%"
"23/09/2024","47,460.2","47,653.7","48,527.1","46,916.3","0.17K","-0.43%"
"22/09/2024","47,664.5","47,535.3","47,913.0","46,746.0","0.06K","0.24%"
"21/09/2024","47,551.9","47,379.4","47,675.9","47,078.6","0.03K","0.36%"
"20/09/2024","47,379.4","47,399.3","48,221.6","46,800.0","0.11K","-0.05%"
"19/09/2024","47,402.7","46,759.0","48,077.3","46,644.1","0.26K","1.37%"
"18/09/2024","46,761.2","45,793.3","46,761.2","44,824.3","0.18K","2.10%"
"17/09/2024","45,801.4","44,068.5","46,606.2","43,662.4","0.21K","3.93%"
"16/09/2024","44,071.3","45,041.8","45,041.8","43,573.6","0.17K","-2.15%"
"15/09/2024","45,041.8","45,677.3","45,962.1","44,663.0","0.04K","-1.41%"
"14/09/2024","45,683.9","46,144.9","46,144.9","45,266.3","0.02K","-1.00%"
"13/09/2024","46,144.9","44,271.4","46,160.4","43,925.1","0.12K","4.23%"
"12/09/2024","44,271.4","43,956.6","44,853.8","43,910.0","0.12K","0.71%"
"11/09/2024","43,958.5","44,060.6","44,438.2","42,676.7","0.20K","-0.27%"
"10/09/2024","44,075.8","43,657.0","44,372.0","43,142.9","0.15K","0.96%"
"09/09/2024","43,657.0","41,802.5","44,397.1","41,652.4","0.31K","4.52%"
"08/09/2024","41,768.0","41,330.6","42,154.5","40,915.8","0.11K","1.07%"
"07/09/2024","41,327.8","41,148.4","41,849.3","40,988.0","0.10K","0.43%"
"06/09/2024","41,152.6","42,616.4","43,236.3","40,075.9","0.30K","-3.43%"
"05/09/2024","42,615.0","44,113.3","44,359.4","42,221.5","0.21K","-3.40%"
"04/09/2024","44,113.3","43,833.2","44,516.0","42,487.4","0.22K","0.70%"
"03/09/2024","43,807.1","44,972.7","45,500.0","43,796.3","0.22K","-2.59%"
"02/09/2024","44,972.7","43,675.6","45,225.5","43,472.2","0.18K","3.00%"
"01/09/2024","43,661.7","44,935.6","45,000.3","43,579.0","0.14K","-2.82%"
"31/08/2024","44,930.4","45,051.5","45,293.3","44,774.1","0.05K","-0.24%"
"30/08/2024","45,038.4","45,110.7","45,500.0","44,115.1","0.22K","-0.18%"
"29/08/2024","45,118.7","44,767.2","46,452.9","44,623.3","0.15K","0.78%"
"28/08/2024","44,767.8","44,898.6","45,598.7","43,922.7","0.22K","-0.35%"
"27/08/2024","44,925.7","47,652.6","47,926.5","43,800.0","0.38K","-5.72%"
"26/08/2024","47,652.6","48,702.0","48,818.0","47,607.0","0.21K","-2.16%"
"25/08/2024","48,705.5","48,545.3","49,203.6","48,273.3","0.10K","0.33%"
"24/08/2024","48,545.3","48,481.0","48,799.0","48,104.7","0.10K","0.17%"
"23/08/2024","48,461.7","46,102.6","49,148.5","46,102.6","0.30K","5.11%"
"22/08/2024","46,107.2","46,721.0","46,868.2","45,742.6","0.14K","-1.31%"
"21/08/2024","46,721.0","45,276.5","47,224.4","45,117.8","0.20K","3.19%"
"20/08/2024","45,276.5","45,793.6","47,324.2","44,979.5","0.22K","-1.13%"
"19/08/2024","45,793.6","45,166.0","45,883.6","44,608.9","0.19K","1.36%"
"18/08/2024","45,179.8","45,968.0","46,556.3","45,146.8","0.10K","-1.71%"
"17/08/2024","45,968.0","45,500.0","46,152.5","45,454.8","0.05K","1.00%"
"16/08/2024","45,512.3","44,775.6","46,261.3","44,414.7","0.21K","1.66%"
"15/08/2024","44,771.1","45,790.1","46,526.9","43,756.4","0.44K","-2.20%"
"14/08/2024","45,779.0","47,116.7","48,001.5","45,592.0","0.29K","-2.84%"
"13/08/2024","47,116.7","46,491.7","47,902.3","45,748.8","0.26K","1.32%"
